M_Z'[GeV] 	 weighted sigma [GeV^2] 	 weighted sigma error [GeV^2]
100	0.233973	0.0190819
200	0.236435	0.0134098
300	0.243208	0.0156036
400	0.242106	0.0112134
500	0.261568	0.010142
600	0.288306	0.0129962
700	0.300649	0.0123997
800	0.289939	0.0110627
900	0.296014	0.0115863
1000	0.287493	0.0124516
1100	0.295704	0.0134855
1200	0.318632	0.0141119
1300	0.33856	0.0199908
1400	0.305028	0.0134177
1500	0.305528	0.0125638
1600	0.311518	0.0161835
1700	0.304088	0.0123088
1800	0.308362	0.0129622
1900	0.305413	0.0153086
2000	0.31112	0.0133715
2100	0.3054	0.0139769
2200	0.295048	0.0123789
2300	0.305247	0.0116657
2400	0.302437	0.0150064
2500	0.301663	0.0151997
2600	0.289403	0.0118613
2700	0.309815	0.0184159
2800	0.286611	0.0125022
2900	0.303025	0.0157006
3000	0.270783	0.0120899
3100	0.267958	0.010288
3200	0.279397	0.0113781
3300	0.297298	0.0148019
3400	0.280799	0.0118109
3500	0.279793	0.0118345
3600	0.292338	0.0145509
3700	0.297271	0.0156659
3800	0.269637	0.0114561
3900	0.264771	0.0105789
4000	0.262165	0.0115098
4100	0.271074	0.0135171
4200	0.258981	0.0119585
4300	0.244844	0.0102502
4400	0.274522	0.013237
4500	0.251093	0.0108853
4600	0.241024	0.0095022
4700	0.256065	0.0125957
4800	0.260173	0.0142946
4900	0.257057	0.0145284
5000	0.243127	0.0145376
5100	0.233758	0.0100486
5200	0.221978	0.00891149
5300	0.252854	0.0170405
5400	0.232739	0.0108848
5500	0.232613	0.0130862
5600	0.221561	0.0153724
5700	0.222904	0.012983
5800	0.225506	0.0120667
5900	0.238204	0.0174986
6000	0.195867	0.00924008
6100	0.193822	0.00907592
6200	0.207533	0.0153938
6300	0.183815	0.00792355
6400	0.183898	0.00935065
6500	0.176748	0.00853358
6600	0.164348	0.0080913
6700	0.173001	0.0108312
6800	0.144656	0.0060157
6900	0.1641	0.00964307
7000	0.158242	0.00952996
7100	0.144462	0.00621798
7200	0.146399	0.00752577
7300	0.139235	0.00754504
7400	0.153328	0.00975167
7500	0.120532	0.00678429
7600	0.105098	0.00424722
7700	0.136988	0.0116141
7800	0.10825	0.00561809
7900	0.112467	0.00732952
8000	0.0962218	0.00472598
8100	0.0971608	0.00566749
8200	0.0926608	0.0053716
8300	0.0757172	0.00323527
8400	0.0845161	0.00551577
8500	0.0814931	0.0052828
8600	0.0657694	0.0030358
8700	0.0634444	0.00301818
8800	0.0654147	0.00407608
8900	0.0669022	0.00595508
9000	0.0500636	0.00128985
9100	0.0492634	0.00272185
9200	0.047328	0.0037792
9300	0.0407221	0.00262402
9400	0.0678107	0.0155686
9500	0.0366816	0.00102805
9600	0.0571216	0.0103381
9700	0.0388027	0.00360602
9800	0.050343	0.007275
9900	0.0393066	0.00587708
10000	0.0464291	0.0058382
10100	0.0643125	0.012012
10200	0.0644995	0.0120688
10300	0.570088	0.576067
